x,y,vx,vy,time
39.000,562.000,202.623,22.274,0.000
41.020,562.219,201.444,21.534,0.010
43.029,562.431,200.270,20.796,0.020
45.026,562.635,199.100,20.060,0.030
47.011,562.832,197.935,19.327,0.040
48.984,563.022,196.774,18.595,0.050
50.946,563.204,195.619,17.866,0.060
52.897,563.379,194.468,17.139,0.070
54.836,563.547,193.322,16.413,0.080
56.763,563.707,192.180,15.690,0.090
58.679,563.860,191.043,14.969,0.100
60.584,564.006,189.911,14.250,0.110
62.478,564.145,188.783,13.534,0.120
64.360,564.277,187.661,12.819,0.130
66.231,564.402,186.543,12.106,0.140
68.091,564.519,185.429,11.396,0.150
69.939,564.630,184.320,10.688,0.160
71.777,564.733,183.216,9.981,0.170
73.604,564.829,182.117,9.277,0.180
75.420,564.919,181.022,8.575,0.190
77.224,565.001,179.932,7.875,0.200
79.018,565.076,178.847,7.177,0.210
80.801,565.144,177.767,6.481,0.220
82.574,565.206,176.691,5.788,0.230
84.335,565.260,175.619,5.096,0.240
86.086,565.308,174.553,4.406,0.250
87.826,565.348,173.491,3.719,0.260
89.556,565.382,172.434,3.034,0.270
91.275,565.409,171.382,2.351,0.280
92.983,565.429,170.334,1.669,0.290
94.682,565.442,169.291,0.990,0.300
96.369,565.449,168.252,0.313,0.310
98.047,565.449,167.219,-0.361,0.320
99.714,565.442,166.190,-1.034,0.330
101.370,565.428,165.165,-1.705,0.340
103.017,565.408,164.145,-2.373,0.350
104.653,565.381,163.131,-3.040,0.360
106.280,565.347,162.120,-3.704,0.370
107.896,565.306,161.115,-4.366,0.380
109.502,565.259,160.114,-5.026,0.390
111.098,565.206,159.117,-5.685,0.400
112.684,565.146,158.126,-6.340,0.410
114.261,565.079,157.139,-6.994,0.420
115.827,565.006,156.157,-7.646,0.430
117.384,564.926,155.179,-8.296,0.440
118.931,564.840,154.206,-8.943,0.450
120.468,564.747,153.238,-9.589,0.460
121.995,564.648,152.275,-10.232,0.470
123.513,564.543,151.316,-10.873,0.480
125.022,564.431,150.362,-11.513,0.490
126.521,564.312,149.412,-12.150,0.500
128.010,564.188,148.468,-12.785,0.510
129.490,564.057,147.528,-13.418,0.520
130.961,563.919,146.592,-14.048,0.530
132.422,563.776,145.661,-14.677,0.540
